2212
0 duplicate normalized root spellings
2212 records written to verbdata_map.txt
WARNING: vals wrong length: ('kzapa!', u'01', u'0935') => [u'kzap']
WARNING: vals wrong length: ('kzapa!', u'10', u'0487') => [u'kzap']
WARNING: vals wrong length: ('kzapi!', u'10', u'0112') => [u'kzamp']
WARNING: vals wrong length: ('kzamU!', u'04', u'0103') => [u'kzam']
WARNING: vals wrong length: ('kzamU!z', u'01', u'0510') => [u'kzam']
WARNING: vals wrong length: ('kzara!', u'01', u'0986') => [u'kzar']
WARNING: vals wrong length: ('kzala!', u'10', u'0086') => [u'kzal']
WARNING: vals wrong length: ('kzi', u'01', u'0269') => [u'kzi']
WARNING: vals wrong length: ('kzi', u'05', u'0033') => [u'kzi']
WARNING: vals wrong length: ('kzi', u'06', u'0143') => [u'kzi']
WARNING: vals wrong length: ('kziRu!', u'08', u'0004') => [u'kziR']
WARNING: vals wrong length: ('kzipa!', u'04', u'0015') => [u'kzip']
WARNING: vals wrong length: ('kzipa!', u'06', u'0005') => [u'kzip']
WARNING: vals wrong length: ('kzivu!', u'01', u'0648') => [u'kziv']
WARNING: vals wrong length: ('kzI', u'05', u'0039') => [u'kzI']
WARNING: vals wrong length: ('kzIja!', u'01', u'0270') => [u'kzIj']
WARNING: vals wrong length: ('kzIbf!', u'01', u'0442') => [u'kzIb']
WARNING: vals wrong length: ('kzIvf!', u'01', u'0443') => [u'kzIv']
WARNING: vals wrong length: ('kzIz', u'09', u'0042') => [u'kzI']
WARNING: vals wrong length: ('kzudi!r', u'07', u'0006') => [u'kzud']
WARNING: vals wrong length: ('kzuDa!', u'04', u'0087') => [u'kzuD']
WARNING: vals wrong length: ('kzuBa!', u'01', u'0854') => [u'kzuB']
WARNING: vals wrong length: ('kzuBa!', u'04', u'0154') => [u'kzuB']
WARNING: vals wrong length: ('kzuBa!', u'09', u'0055') => [u'kzuB']
WARNING: vals wrong length: ('kzura!', u'01', u'0987') => [u'kzur']
WARNING: vals wrong length: ('kzura!', u'06', u'0070') => [u'kzur']
WARNING: vals wrong length: ('kzevu!', u'01', u'0649') => [u'kzev']
WARNING: vals wrong length: ('kzE', u'01', u'1061') => [u'kzE']
WARNING: vals wrong length: ('kzowa', u'10', u'0416') => [u'kzowa']
WARNING: vals wrong length: ('kzRu', u'02', u'0032') => [u'kzRu']
WARNING: vals wrong length: ('kzmAyI!', u'01', u'0559') => [u'kzmAy']
